Win,Dist,Time,CostBag
1,4202.929981,4040,9.135866679
1,4163.539864,4045,8.322059383
1,3920.901175,4212,6.983818452
1,3168.499421,4266,6.857002352
1,3103.350582,4281,6.580118256
1,3104.253983,4466,6.102459304
1,3090.737761,4477,6.372768995
1,3327.193674,4550,5.903582364
1,3093.791332,4744,6.191746446
1,3080.27511,4755,6.462056138
1,3317.612371,4828,5.99303883
1,3293.621467,4846,5.99434107
1,3197.306474,5859,6.039219799
1,3152.381909,5942,6.057846771
2,4381.402183,3985,6.997740649
2,4160.190819,4305,5.713862604
2,4095.892499,4324,5.977043386
2,4045.287647,4333,5.700983013
2,4335.102219,4073,6.209863645
2,4118.911306,4207,6.212335998
2,4329.227344,4193,6.78673169
2,4176.330606,4240,5.964910806
2,4117.015492,4213,7.560411843
2,3817.58099,4625,5.483837399
2,3761.59874,4939,5.576202057
2,3562.453026,4641,5.709371107
2,3703.756165,4484,6.22354593
2,3634.729043,4253,6.673010342
2,3657.408133,4496,5.679994666
2,3386.442683,4658,6.219727084
2,3641.190968,4325,6.428603191
2,3395.258397,4547,6.184967541
2,3301.551721,4982,6.848409772
2,3106.678568,5117,5.778130365
2,3433.353054,4512,6.988673739
2,3576.825055,4582,5.962050134
2,3703.035689,4486,5.954770403
2,3325.485939,5096,6.082564622
2,3327.246075,4807,5.718699164
2,3793.376447,4339,6.193144572
2,4221.528475,4196,7.574907769
2,3767.154306,4485,5.966760351
2,4319.967806,4156,8.657859168
2,3410.054817,5086,5.556939924
3,3293.754952,4586,5.639686912
3,3369.448026,4645,5.135017108
3,3313.908874,4691,5.408747682
3,3347.297864,4463,5.609579393
3,3227.544364,5281,5.585915748
3,3330.574376,4691,5.142655504
3,3359.058973,4330,6.106748604
3,3364.792433,4638,5.401117758
3,3236.40335,4702,5.128176013
3,3414.73787,4294,5.567035026
3,3535.273936,4118,6.070980379
3,3660.145855,4329,5.087088777
3,3201.39889,4977,5.750350854
3,3607.825687,4374,5.091815444
3,3494.629868,4438,5.091086526
3,3582.364974,3789,5.164099675
3,3675.485797,3875,4.671645055
3,3440.603661,4515,5.105994464
3,3561.071175,4416,5.365920078
3,3541.424447,4071,5.518139015
3,3657.180975,4373,5.100969087
4,2960.384996,3561,4.161847364
4,2926.516149,3527,4.41346862
4,2912.449919,3996,4.564789229
4,2910.861931,3448,4.653810913
4,2763.054417,4533,5.251030159
5,3231.768966,4261,4.443870228
5,3315.476332,4148,4.692135847
5,3338.983578,4096,4.410280917
5,3184.505583,4851,4.897844258
5,3133.475022,4113,4.91496975
5,3382.940931,4094,4.687363036
5,3530.510947,3781,4.612922464
5,3564.912984,3747,4.877659801
5,3437.476348,3799,4.600960152
5,3400.81582,3805,4.865181364
5,3595.812597,3742,5.151248069
5,3617.819518,3672,4.863193569
5,3591.013206,3781,4.355252127
5,3019.423925,4486,5.01555435
5,3055.725654,4097,5.433366012
6,3031.899462,3275,3.543074281
6,2894.042244,3107,3.730710907
6,2550.641266,4026,4.235837485
6,2640.58206,3951,4.228486209
6,3082.471967,3094,3.762642398
6,2683.345235,3321,4.029805242
6,3965.751796,2883,4.132336552
7,3037.989216,3221,3.795804168
7,3153.915032,3146,4.601326862
7,3037.866913,3222,3.796109079
7,3075.648489,3217,3.801725572
7,3011.23965,3230,3.793620754
7,3128.001893,3194,4.342818098
7,3002.306596,3238,3.794531809
7,3150.66237,3181,3.804314446
7,3230.886101,3016,3.765539694
7,3190.610719,2924,3.996882519
7,3584.19576,3254,3.642283915
8,3144.771068,2920,3.448174409
8,3131.401169,2895,3.975983476
8,2754.709414,3486,4.097702794
8,3104.019723,3137,3.5116097
8,2921.526345,3227,3.506106047
8,3116.643312,3057,3.757056268
8,2778.338425,3275,3.763654509
8,2907.5057,3252,3.78091653
8,2818.914878,3036,3.962254583
8,3126.818665,2973,4.270012781
8,2938.120851,2928,4.757570016
8,2765.681946,3376,4.332979947
8,2951.273324,3091,3.736451525
8,2941.274293,3153,3.754891777
8,3042.186903,3062,3.744393871
9,2841.269002,2865,3.371803733
9,3063.640561,2787,3.388909599
9,3058.157753,2829,3.401649355
9,3063.321027,2826,3.401656092
9,2859.014049,2735,3.601813865
11,2808.026474,2740,3.324366334
11,2880.978966,2672,3.316050146
11,2915.265055,2596,3.29767818
12,2804.199773,2617,3.283237066
12,2797.584074,2621,3.283279699
12,2776.554755,2647,3.82636602
13,2657.01456,2392,3.181068479
14,2732.80037,2462,3.21861682